origination_month,score_band_v2,nb_clients,months_since_origination,clients_on_default
2018-05,4.0,7557,3,72
2018-05,4.0,7557,4,87
2018-05,4.0,7557,5,105
2018-05,4.0,7557,6,132
2018-05,4.0,7557,7,132
2018-05,4.0,7557,8,138
2018-05,4.0,7557,9,135
2018-05,4.0,7557,10,147
2018-05,4.0,7557,11,129
2018-05,4.0,7557,12,150
2018-05,5.0,9234,0,0
2018-05,5.0,9234,1,0
2018-05,5.0,9234,2,9
2018-05,5.0,9234,3,27
2018-05,5.0,9234,4,72
2018-05,5.0,9234,5,102
2018-05,5.0,9234,6,126
2018-05,5.0,9234,7,129
2018-05,5.0,9234,8,138
2018-05,5.0,9234,9,123
2018-05,5.0,9234,10,111
2018-05,5.0,9234,11,105
2018-05,5.0,9234,12,102
2018-05,6.0,7842,0,0
2018-05,6.0,7842,1,9
2018-05,6.0,7842,2,0
2018-05,6.0,7842,3,27
2018-05,6.0,7842,4,30
2018-05,6.0,7842,5,39
2018-05,6.0,7842,6,72
2018-05,6.0,7842,7,69
2018-05,6.0,7842,8,63
2018-05,6.0,7842,9,81
2018-05,6.0,7842,10,72
2018-05,6.0,7842,11,57
2018-05,6.0,7842,12,51
2018-05,7.0,5235,0,0
2018-05,7.0,5235,1,0
2018-05,7.0,5235,2,6
2018-05,7.0,5235,3,6
2018-05,7.0,5235,4,6
2018-05,7.0,5235,5,21
2018-05,7.0,5235,6,18
2018-05,7.0,5235,7,6
2018-05,7.0,5235,8,15
2018-05,7.0,5235,9,21
2018-05,7.0,5235,10,6
2018-05,7.0,5235,11,36
2018-05,7.0,5235,12,36
2018-06,1.0,20880,0,0
2018-06,1.0,20880,1,18
2018-06,1.0,20880,2,234
2018-06,1.0,20880,3,390
2018-06,1.0,20880,4,600
2018-06,1.0,20880,5,768
2018-06,1.0,20880,6,927
2018-06,1.0,20880,7,960
2018-06,1.0,20880,8,978
2018-06,1.0,20880,9,891
2018-06,1.0,20880,10,855
2018-06,1.0,20880,11,861
2018-06,2.0,15009,0,0
2018-06,2.0,15009,1,3
2018-06,2.0,15009,2,150
2018-06,2.0,15009,3,249
2018-06,2.0,15009,4,357
2018-06,2.0,15009,5,468
2018-06,2.0,15009,6,570
2018-06,2.0,15009,7,576
2018-06,2.0,15009,8,552
2018-06,2.0,15009,9,552
2018-06,2.0,15009,10,549
2018-06,2.0,15009,11,492
2018-06,3.0,19956,0,0
2018-06,3.0,19956,1,18
2018-06,3.0,19956,2,120
2018-06,3.0,19956,3,222
2018-06,3.0,19956,4,324
2018-06,3.0,19956,5,462
2018-06,3.0,19956,6,570
2018-06,3.0,19956,7,585
2018-06,3.0,19956,8,552
2018-06,3.0,19956,9,516
2018-06,3.0,19956,10,501
2018-06,3.0,19956,11,501
2018-06,4.0,16221,0,0
2018-06,4.0,16221,1,12
2018-06,4.0,16221,2,60
2018-06,4.0,16221,3,132
2018-06,4.0,16221,4,222
2018-06,4.0,16221,5,279
2018-06,4.0,16221,6,333
2018-06,4.0,16221,7,366
2018-06,4.0,16221,8,375
2018-06,4.0,16221,9,369
2018-06,4.0,16221,10,360
2018-06,4.0,16221,11,354
2018-06,5.0,9030,0,0
2018-06,5.0,9030,1,3
2018-06,5.0,9030,2,24
2018-06,5.0,9030,3,48
2018-06,5.0,9030,4,87
2018-06,5.0,9030,5,105
2018-06,5.0,9030,6,153
2018-06,5.0,9030,7,156
2018-06,5.0,9030,8,138
2018-06,5.0,9030,9,135
2018-06,5.0,9030,10,141
2018-06,5.0,9030,11,138
2018-06,6.0,13869,0,0
2018-06,6.0,13869,1,12
2018-06,6.0,13869,2,12
2018-06,6.0,13869,3,36
2018-06,6.0,13869,4,51
2018-06,6.0,13869,5,99
2018-06,6.0,13869,6,126
2018-06,6.0,13869,7,135
2018-06,6.0,13869,8,141
2018-06,6.0,13869,9,156
2018-06,6.0,13869,10,150
2018-06,6.0,13869,11,159
2018-06,7.0,7932,0,0
2018-06,7.0,7932,1,3
2018-06,7.0,7932,2,12
2018-06,7.0,7932,3,27
2018-06,7.0,7932,4,12
2018-06,7.0,7932,5,39
2018-06,7.0,7932,6,30
2018-06,7.0,7932,7,39
2018-06,7.0,7932,8,48
2018-06,7.0,7932,9,54
2018-06,7.0,7932,10,54
2018-06,7.0,7932,11,42
2018-07,1.0,23922,0,0
2018-07,1.0,23922,1,39
2018-07,1.0,23922,2,255
2018-07,1.0,23922,3,501
2018-07,1.0,23922,4,786
2018-07,1.0,23922,5,1059
2018-07,1.0,23922,6,1257
2018-07,1.0,23922,7,1227
2018-07,1.0,23922,8,1164
2018-07,1.0,23922,9,1101
2018-07,1.0,23922,10,1029
2018-07,2.0,17316,0,0
2018-07,2.0,17316,1,18
2018-07,2.0,17316,2,162
2018-07,2.0,17316,3,312
2018-07,2.0,17316,4,450
2018-07,2.0,17316,5,570
2018-07,2.0,17316,6,711
2018-07,2.0,17316,7,726
2018-07,2.0,17316,8,699
2018-07,2.0,17316,9,645
2018-07,2.0,17316,10,651
2018-07,3.0,15846,0,0
2018-07,3.0,15846,1,9
2018-07,3.0,15846,2,96
2018-07,3.0,15846,3,222
2018-07,3.0,15846,4,318
2018-07,3.0,15846,5,411
2018-07,3.0,15846,6,504
2018-07,3.0,15846,7,516
2018-07,3.0,15846,8,492
2018-07,3.0,15846,9,474
2018-07,3.0,15846,10,444
2018-07,4.0,9570,0,0
2018-07,4.0,9570,1,12
2018-07,4.0,9570,2,66
2018-07,4.0,9570,3,93
2018-07,4.0,9570,4,141
2018-07,4.0,9570,5,198
2018-07,4.0,9570,6,228
2018-07,4.0,9570,7,255
2018-07,4.0,9570,8,243
